PathParameter	MeanPathLikelihood	MLContribution
0.0000	-8.0207e+06	-1.6733
2.1544e-07	-7.5132e+06	-13.745
2.1715e-06	-6.5402e+06	-39.652
8.3895e-06	-6.2136e+06	-83.189
2.1888e-05	-6.1123e+06	-147.19
4.6050e-05	-6.0712e+06	-233.38
8.4561e-05	-6.0488e+06	-342.88
0.00014136	-6.0247e+06	-476.32
0.00022061	-5.9954e+06	-635.20
0.00032669	-5.9805e+06	-821.81
0.00046416	-5.9762e+06	-1037.0
0.00063774	-5.9724e+06	-1281.4
0.00085232	-5.9708e+06	-1556.0
0.0011130	-5.9697e+06	-1861.6
0.0014248	-5.9686e+06	-2198.9
0.0017932	-5.9682e+06	-2568.6
0.0022237	-5.9672e+06	-2971.6
0.0027216	-5.9672e+06	-3408.4
0.0032929	-5.9662e+06	-3879.6
0.0039432	-5.9657e+06	-4386.0
0.0046784	-5.9649e+06	-4927.8
0.0055047	-5.9635e+06	-5505.7
0.0064280	-5.9623e+06	-6120.6
0.0074546	-5.9613e+06	-6772.4
0.0085909	-5.9595e+06	-7460.1
0.0098431	-5.9552e+06	-8185.5
0.011218	-5.9531e+06	-8951.7
0.012722	-5.9521e+06	-9756.4
0.014361	-5.9490e+06	-10600
0.016143	-5.9473e+06	-11484
0.018075	-5.9452e+06	-12409
0.020162	-5.9430e+06	-13375
0.022413	-5.9418e+06	-14382
0.024834	-5.9396e+06	-15431
0.027432	-5.9381e+06	-16524
0.030215	-5.9368e+06	-17659
0.033190	-5.9354e+06	-18837
0.036364	-5.9344e+06	-20060
0.039745	-5.9335e+06	-21327
0.043339	-5.9326e+06	-22640
0.047156	-5.9323e+06	-23998
0.051201	-5.9317e+06	-25401
0.055484	-5.9312e+06	-26850
0.060011	-5.9309e+06	-28346
0.064790	-5.9306e+06	-29888
0.069830	-5.9303e+06	-31478
0.075138	-5.9301e+06	-33114
0.080722	-5.9299e+06	-34799
0.086591	-5.9297e+06	-36531
0.092751	-5.9295e+06	-38312
0.099213	-5.9295e+06	-40141
0.10598	-5.9293e+06	-42019
0.11307	-5.9292e+06	-43947
0.12048	-5.9291e+06	-45924
0.12823	-5.9290e+06	-47951
0.13631	-5.9289e+06	-50028
0.14475	-5.9288e+06	-52156
0.15355	-5.9287e+06	-54335
