PathParameter	MeanPathLikelihood	MLContribution
0.0000	-7.9803e+06	-1.6681
2.1544e-07	-7.5048e+06	-13.769
2.1715e-06	-6.5735e+06	-39.745
8.3895e-06	-6.2103e+06	-83.138
2.1888e-05	-6.1081e+06	-147.20
4.6050e-05	-6.0756e+06	-233.51
8.4561e-05	-6.0514e+06	-343.16
0.00014136	-6.0319e+06	-476.67
0.00022061	-5.9971e+06	-635.27
0.00032669	-5.9801e+06	-821.77
0.00046416	-5.9760e+06	-1037.1
0.00063774	-5.9731e+06	-1281.6
0.00085232	-5.9713e+06	-1556.1
0.0011130	-5.9697e+06	-1861.6
0.0014248	-5.9688e+06	-2198.9
0.0017932	-5.9684e+06	-2568.7
0.0022237	-5.9676e+06	-2971.5
0.0027216	-5.9665e+06	-3408.1
0.0032929	-5.9658e+06	-3879.4
0.0039432	-5.9654e+06	-4385.9
0.0046784	-5.9647e+06	-4928.0
0.0055047	-5.9640e+06	-5506.3
0.0064280	-5.9631e+06	-6121.0
0.0074546	-5.9614e+06	-6772.5
0.0085909	-5.9594e+06	-7460.9
0.0098431	-5.9566e+06	-8187.1
0.011218	-5.9539e+06	-8952.2
0.012722	-5.9519e+06	-9756.6
0.014361	-5.9494e+06	-10601
0.016143	-5.9477e+06	-11485
0.018075	-5.9459e+06	-12410
0.020162	-5.9435e+06	-13375
0.022413	-5.9417e+06	-14382
0.024834	-5.9392e+06	-15431
0.027432	-5.9380e+06	-16523
0.030215	-5.9366e+06	-17658
0.033190	-5.9353e+06	-18837
0.036364	-5.9344e+06	-20060
0.039745	-5.9334e+06	-21328
0.043339	-5.9329e+06	-22640
0.047156	-5.9321e+06	-23998
0.051201	-5.9317e+06	-25401
0.055484	-5.9311e+06	-26850
0.060011	-5.9309e+06	-28346
0.064790	-5.9305e+06	-29888
0.069830	-5.9304e+06	-31478
0.075138	-5.9301e+06	-33114
0.080722	-5.9299e+06	-34798
0.086591	-5.9296e+06	-36531
0.092751	-5.9296e+06	-38312
0.099213	-5.9294e+06	-40141
0.10598	-5.9293e+06	-42019
0.11307	-5.9291e+06	-43947
0.12048	-5.9291e+06	-45924
0.12823	-5.9290e+06	-47951
0.13631	-5.9289e+06	-50029
0.14475	-5.9288e+06	-52156
0.15355	-5.9287e+06	-54335
0.16271	-5.9287e+06	-56565
0.17226	-5.9286e+06	-58846
0.18218	-5.9286e+06	-61179
0.19250	-5.9285e+06	-63564
0.20322	-5.9285e+06	-66001
0.21436	-5.9284e+06	-68491
0.22591	-5.9284e+06	-71034
0.23789	-5.9283e+06	-73630
0.25031	-5.9283e+06	-76279
0.26318	-5.9283e+06	-78982
0.27650	-5.9283e+06	-81739
0.29029	-5.9282e+06	-84550
0.30455	-5.9282e+06	-87415
0.31930	-5.9282e+06	-90335
0.33454	-5.9282e+06	-93310
0.35028	-5.9281e+06	-96341
0.36653	-5.9281e+06	-99426
0.38330	-5.9281e+06	-1.0257e+05
0.40060	-5.9281e+06	-1.0577e+05
0.41844	-5.9280e+06	-1.0902e+05
0.43683	-5.9280e+06	-1.1233e+05
0.45578	-5.9280e+06	-1.1570e+05
0.47530	-5.9280e+06	-1.1912e+05
0.49539	-5.9280e+06	-1.2260e+05
0.51608	-5.9279e+06	-1.2614e+05
0.53735	-5.9279e+06	-1.2973e+05
0.55924	-5.9279e+06	-1.3339e+05
0.58174	-5.9279e+06	-1.3710e+05
0.60487	-5.9279e+06	-1.4087e+05
0.62863	-5.9279e+06	-1.4470e+05
0.65304	-5.9278e+06	-1.4859e+05
0.67811	-5.9278e+06	-1.5253e+05
0.70384	-5.9278e+06	-1.5654e+05
0.73025	-5.9278e+06	-1.6061e+05
0.75734	-5.9278e+06	-1.6473e+05
0.78513	-5.9278e+06	-1.6892e+05
0.81363	-5.9278e+06	-1.7316e+05
0.84284	-5.9278e+06	-1.7747e+05
0.87278	-5.9278e+06	-1.8183e+05
0.90345	-5.9278e+06	-1.8626e+05
0.93488	-5.9277e+06	-1.9075e+05
0.96705	-5.9277e+06	-1.9530e+05
1.0000	-5.9277e+06	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -5928975.631511118

Inner area for path parameter in (2.1544e-07,0.96705) = -5.9290e+06
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-6.0757e+06	-1.6760
2.1544e-07	-6.0555e+06	-13.503
2.1715e-06	-6.0479e+06	-39.384
8.3895e-06	-6.0358e+06	-82.989
2.1888e-05	-6.0135e+06	-147.11
4.6050e-05	-6.0053e+06	-233.53
8.4561e-05	-5.9946e+06	-343.11
0.00014136	-5.9731e+06	-476.87
0.00022061	-5.9691e+06	-635.10
0.00032669	-5.9674e+06	-821.68
0.00046416	-5.9678e+06	-1037.1
0.00063774	-5.9670e+06	-1281.6
0.00085232	-5.9661e+06	-1556.1
0.0011130	-5.9645e+06	-1861.6
0.0014248	-5.9647e+06	-2198.8
0.0017932	-5.9649e+06	-2568.7
0.0022237	-5.9642e+06	-2971.6
0.0027216	-5.9633e+06	-3408.2
0.0032929	-5.9623e+06	-3879.4
0.0039432	-5.9621e+06	-4385.8
0.0046784	-5.9607e+06	-4927.7
0.0055047	-5.9610e+06	-5506.4
0.0064280	-5.9596e+06	-6121.3
0.0074546	-5.9578e+06	-6772.6
0.0085909	-5.9547e+06	-7461.5
0.0098431	-5.9529e+06	-8187.2
0.011218	-5.9513e+06	-8952.5
0.012722	-5.9490e+06	-9757.5
0.014361	-5.9462e+06	-10600
0.016143	-5.9449e+06	-11486
0.018075	-5.9433e+06	-12410
0.020162	-5.9410e+06	-13376
0.022413	-5.9397e+06	-14383
0.024834	-5.9374e+06	-15431
0.027432	-5.9359e+06	-16523
0.030215	-5.9347e+06	-17658
0.033190	-5.9339e+06	-18837
0.036364	-5.9331e+06	-20060
0.039745	-5.9320e+06	-21328
0.043339	-5.9315e+06	-22639
0.047156	-5.9309e+06	-23997
0.051201	-5.9307e+06	-25401
0.055484	-5.9304e+06	-26850
0.060011	-5.9301e+06	-28346
0.064790	-5.9299e+06	-29888
0.069830	-5.9297e+06	-31478
0.075138	-5.9295e+06	-33114
0.080722	-5.9293e+06	-34798
0.086591	-5.9292e+06	-36530
0.092751	-5.9291e+06	-38312
0.099213	-5.9290e+06	-40141
0.10598	-5.9289e+06	-42019
0.11307	-5.9288e+06	-43946
0.12048	-5.9288e+06	-45924
0.12823	-5.9287e+06	-47951
0.13631	-5.9287e+06	-50029
0.14475	-5.9285e+06	-52156
0.15355	-5.9285e+06	-54335
0.16271	-5.9284e+06	-56565
0.17226	-5.9284e+06	-58846
0.18218	-5.9283e+06	-61179
0.19250	-5.9283e+06	-63564
0.20322	-5.9283e+06	-66001
0.21436	-5.9283e+06	-68491
0.22591	-5.9282e+06	-71034
0.23789	-5.9282e+06	-73630
0.25031	-5.9282e+06	-76279
0.26318	-5.9281e+06	-78982
0.27650	-5.9281e+06	-81739
0.29029	-5.9281e+06	-84550
0.30455	-5.9281e+06	-87415
0.31930	-5.9281e+06	-90335
0.33454	-5.9280e+06	-93310
0.35028	-5.9280e+06	-96341
0.36653	-5.9280e+06	-99426
0.38330	-5.9280e+06	-1.0257e+05
0.40060	-5.9279e+06	-1.0577e+05
0.41844	-5.9279e+06	-1.0902e+05
0.43683	-5.9279e+06	-1.1233e+05
0.45578	-5.9279e+06	-1.1570e+05
0.47530	-5.9279e+06	-1.1912e+05
0.49539	-5.9279e+06	-1.2260e+05
0.51608	-5.9279e+06	-1.2614e+05
0.53735	-5.9278e+06	-1.2973e+05
0.55924	-5.9278e+06	-1.3339e+05
0.58174	-5.9278e+06	-1.3710e+05
0.60487	-5.9278e+06	-1.4087e+05
0.62863	-5.9278e+06	-1.4470e+05
0.65304	-5.9278e+06	-1.4859e+05
0.67811	-5.9278e+06	-1.5253e+05
0.70384	-5.9278e+06	-1.5654e+05
